Mat,Dev,treatment,bucket,embryo_no,length_mm,area_mm2,stage
W,C,WC,WC2,6,NA,0.00703,HB
W,C,WC,WC2,7,NA,0.00726,HB
W,C,WC,WC2,8,NA,0.00682,HB
W,C,WC,WC2,9,NA,0.00712,HB
W,C,WC,WC2,10,NA,0.00755,HB
W,C,WC,WC2,11,NA,0.0072,HB
W,C,WC,WC2,12,NA,0.00747,HB
W,C,WC,WC2,13,NA,0.0067,HB
W,C,WC,WC2,14,NA,0.00793,HB
W,C,WC,WC2,15,NA,0.00732,HB
W,C,WC,WC2,16,NA,0.00696,HB
W,C,WC,WC2,17,NA,0.00776,HB
W,C,WC,WC2,18,NA,0.00688,HB
W,C,WC,WC2,19,NA,0.00753,HB
W,C,WC,WC2,20,NA,0.00661,HB
W,C,WC,WC2,21,NA,0.00737,HB
W,C,WC,WC2,22,NA,0.00793,HB
W,C,WC,WC2,23,NA,0.0066,HB
W,C,WC,WC2,24,NA,0.00723,HB
W,C,WC,WC2,25,NA,0.00843,HB
W,C,WC,WC2,26,NA,0.00714,HB
W,C,WC,WC2,27,NA,0.00771,HB
W,C,WC,WC2,28,NA,0.00799,HB
W,C,WC,WC2,29,NA,0.00734,HB
W,C,WC,WC2,30,NA,0.00734,HB
W,C,WC,WC2,31,NA,0.00787,HB
W,C,WC,WC2,32,NA,0.00783,HB
W,C,WC,WC2,33,NA,0.00786,HB
W,C,WC,WC2,34,NA,0.008,HB
W,C,WC,WC2,35,NA,0.00747,HB
W,C,WC,WC3,1,NA,0.00806,HB
W,C,WC,WC3,2,NA,0.00735,HB
W,C,WC,WC3,3,NA,0.00807,HB
W,C,WC,WC3,4,NA,0.00808,HB
W,C,WC,WC3,5,NA,0.00726,HB
W,C,WC,WC3,6,NA,0.00741,HB
W,C,WC,WC3,7,NA,0.00758,HB
W,C,WC,WC3,8,NA,0.00724,HB
W,C,WC,WC3,9,NA,0.00816,HB
W,C,WC,WC3,10,NA,0.00746,HB
W,C,WC,WC3,11,NA,0.00734,HB
W,C,WC,WC3,12,NA,0.008,HB
W,C,WC,WC3,13,NA,0.00696,HB
W,C,WC,WC3,14,NA,0.00829,HB
W,C,WC,WC3,15,NA,0.00713,HB
W,C,WC,WC3,16,NA,0.00778,HB
W,C,WC,WC3,17,NA,0.00807,HB
W,C,WC,WC3,18,NA,0.00756,HB
W,C,WC,WC3,19,NA,0.00738,HB
W,C,WC,WC3,20,NA,0.00715,HB
W,C,WC,WC3,21,NA,0.00759,HB
W,C,WC,WC3,22,NA,0.00723,HB
W,C,WC,WC3,23,NA,0.0075,HB
W,C,WC,WC3,24,NA,0.00864,HB
W,C,WC,WC3,25,NA,0.00798,HB
W,C,WC,WC3,26,NA,0.00752,HB
W,C,WC,WC3,27,NA,0.00698,HB
W,C,WC,WC3,28,NA,0.00824,HB
W,C,WC,WC3,29,NA,0.00756,HB
W,C,WC,WC3,30,NA,0.00738,HB
W,C,WC,WC3,31,NA,0.00805,HB
W,C,WC,WC3,32,NA,0.00697,HB
W,C,WC,WC3,33,NA,0.00713,HB
W,C,WC,WC3,34,NA,0.00727,HB
W,C,WC,WC3,35,NA,0.00797,HB
W,W,WW,WW1,1,NA,0.00807,HB
W,W,WW,WW1,2,NA,0.00681,HB
